LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-686.3843328136905,-337.241488084383,-77.44982071826189,-337.2414880843854,-412.2487233733748,-489.0840979269567,-500.8844063492372,-732.8893754933833,270.1560883171154,1.8810059825003944,801.6333852271789,492.61891325965695,-698.292800951232,1897,-439.8333082850738
-684.8474385598136,142.90469842145393,-47.43102177893499,-313.0199081929845,-61.02121051150819,-687.0325198277236,-672.1234310921946,-588.4874144213408,292.41226356560486,2.2203780234050385,2271.6097095893806,492.61891325965695,-698.292800951232,2800,220.85255093103686
-636.726252166181,1.3660644080747772,243.7469333098644,1.3660644080747772,114.86857609361915,1.3660644075168875,66.83555435602675,-296.2664651995149,325.5656830087035,2.2600671933894025,1659.9828446770805,492.61891325965695,-698.292800951232,2800,-458.52566166319957
-878.3132491067433,-119.07638937972528,-1047.3649889004698,-525.9571676906359,-776.6726820662309,-2424.04729828684,-2410.737094226767,-534.3039125172332,109.71978747464831,2.0881073519728504,2060.453977188801,492.61891325965695,-698.292800951232,2800,216.01093029307788
-864.2997542764465,-103.22557087515344,153.223760981096,-103.22557093481336,153.2038519604003,-103.2255709349301,-101.90165404492852,-859.7186835309,353.5711546836805,2.559809952216141,2530.848884729865,492.61891325965695,-698.292800951232,2800,214.78788917192554
-938.0148085989168,214.0303127522656,356.3567101629633,214.03031275174564,356.3567101628517,214.03031275249185,261.9423533683911,-427.5106061130418,378.85821486728594,2.29293299417888,3847.624083896472,492.61891325965695,-698.292800951232,2800,218.49094326522817
-724.5030908029719,-175.04347693869434,-1766.6621238668056,-596.3077223659212,-547.575262503695,-1704.8607010263104,-3506.237701877029,-675.6034251990264,-31.13821904242765,1.497751459333159,1921.463158201084,492.61891325965695,-698.292800951232,2800,219.4796505506175
-690.6108591796094,41.53087958272224,-1677.7063764447512,-494.0657795667721,-520.6455937362225,-1704.0620614891875,-3365.0957092706717,-849.3634951080476,251.0251099024759,1.637972150895982,2020.9922979453825,492.61891325965695,-698.292800951232,2800,219.029144850429
-400.6525962439909,-357.31121106135424,-462.1153694784125,-374.4718433596674,-370.1712343302757,-388.0810114752707,-1088.214619698521,-337.9253165438332,72.84984924528385,0.7899364501158729,56.10161332077544,492.61891325965695,-698.292800951232,2800,219.7941692914339
-329.0069668152919,261.38537008058137,-601.5100129774471,-30.07569157654374,-409.4191867850337,-1489.8687265840597,-1457.3991519704168,-688.4483281186914,297.21745967445474,2.052529439648452,2011.0767138556023,492.61891325965695,-698.292800951232,2800,219.53549374973912
-553.5551045205299,-181.28970126442044,-26.965298982211166,-181.28970126532195,-350.63556764688576,-611.6304310265847,-587.7923620187186,-620.4783666997135,441.8020095489034,2.7744616351402707,1168.768617304653,492.61891325965695,-698.292800951232,2800,217.9753453244845
-822.6350817722779,-352.0317715218631,37.1240160861668,-352.0317715213116,-286.8690830004912,-352.0317715213116,-257.7934300180833,-161.0863940712215,371.6206693875428,0.4258322820157771,1133.6262904463551,492.61891325965695,-698.292800951232,3696,219.24762668518719
-834.05380225928,-137.20646821461818,129.99297678451703,-241.67967578735212,129.98860334508194,-241.6796757972258,-221.0434703214711,-940.0312672073836,397.9582309545938,2.322262491991251,2257.76982279974,492.61891325965695,-698.292800951232,3696,220.3227450521631
-909.5415663701204,-409.16801715655697,-1196.5887563877477,-433.5406657587027,-796.9574640995684,-1641.6475243792477,-2408.610444557929,-566.2272216395985,-54.33079968138256,2.0235799302963056,1463.9567748137756,492.61891325965695,-698.292800951232,3696,220.42438060273184
-353.41866500697745,91.97174131135893,299.3083995101686,91.97174130987392,177.3202148029472,91.9717413101489,171.13839035659782,-440.52842217831255,283.5300876749287,0.1829461520010162,1401.0358958164848,492.61891325965695,-698.292800951232,3696,216.29723419287998
-937.1639674679502,441.6141422714944,466.033449064221,441.6141422714944,465.42674155681954,441.6141422714944,451.4884040792485,-309.4072244803064,474.9432814614257,0.4340702328565135,4453.875093326894,492.61891325965695,-698.292800951232,3696,220.5526054189487
-662.3476017798082,290.4063811178047,390.8400901342184,290.406381118038,387.1837366688028,290.4063769924627,344.9945822450844,-535.525459746999,421.6711697775912,2.318344195841429,2842.7756661899853,492.61891325965695,-698.292800951232,3696,214.9822535532075
-503.3446089301592,376.6031522092212,429.9592854476001,376.60315230762194,436.5517536422294,376.6031522100632,394.4119878642611,-330.0156796598479,436.4587548964584,0.4896202494973407,2885.9675064632343,492.61891325965695,-698.292800951232,3696,219.3200134768681
-567.0423762325777,230.78283497582837,356.6356402136937,230.78283067172416,356.74311203319667,230.78282890166247,260.84920297138683,-201.823847170607,426.6940648334535,2.076898567639992,2095.8969076125395,492.61891325965695,-698.292800951232,3696,219.58099598123317
-560.2795053090726,138.3291445265252,271.28981861042394,55.553222551868,217.1939980512269,55.553222552088855,101.69178329563871,-675.7047753759144,320.47207842847763,2.413102761070005,1709.745052929437,492.61891325965695,-698.292800951232,3696,218.31263483207886
-678.0186257193108,-530.6847106371622,-210.4122803930758,-578.9720654898125,-346.83534761442377,-518.5546861613002,-517.9159740466167,-410.1807897283743,-119.46734978270896,2.4514379615182573,745.7370700907395,492.61891325965695,-698.292800951232,3696,220.8213216604503
-611.393781118223,448.37955123623226,469.7155168421837,448.3795512367791,469.6637983092159,448.3795512368084,461.1067760507089,-563.1402875347883,473.0408492573936,0.3071401085858605,3499.1778587817266,492.61891325965695,-698.292800951232,4600,219.71384725263624
-806.5012232451311,434.1204563065367,463.02121679590937,434.1204563067969,463.0220835290473,434.1204563068047,446.1554813736517,-402.63162006562135,461.0606840818481,2.443752654233517,3869.559093105255,492.61891325965695,-698.292800951232,4600,219.630239839537
-696.5264424418434,452.1925944698906,471.46048732144266,452.1925944698906,471.4604869922234,452.1925944698906,460.57042309706753,-214.48013391935947,470.9145384977484,2.90605664573062,3497.3408990307826,492.61891325965695,-698.292800951232,4600,219.2241506642893
-553.996153675246,379.3400521054384,427.3526825407216,379.3400521092631,427.4228026204656,379.3400521091207,401.9753388984629,-442.48689514642217,417.2983346076115,0.447287626103866,3114.789657551369,492.61891325965695,-698.292800951232,4600,-425.0027581069145
-548.1571990626564,364.7459046155165,425.91981505563297,364.7459046155165,425.49200092671776,364.7459046155165,377.5432562872665,-248.08559959308505,438.7957022401676,2.11454684366402,2664.211213229648,492.61891325965695,-698.292800951232,4600,218.72629535939905
-569.5184992074308,451.1747099458152,469.2748920627009,451.17470994500445,469.2896764005026,451.1747099458152,456.03146424397215,-647.28266726192,482.1831892519755,2.327019285134769,3092.903956996311,492.61891325965695,-698.292800951232,4600,223.1067124506358
