LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-4844.643313749888,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.3960393423602,-223.40436398077526,6.572520305780927e-14,15736.984442933635,-223.40436398077708,-4316.422010517257,7296
-4090.0676882080184,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-225.8215759185001,-674.0498335012388,-223.40436398077526,6.572520305780927e-14,13368.938277562745,-223.40436398077708,-4316.422010517257,7296
-4159.213249870801,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4199250576834,-682.1082326541762,-223.40436398077526,6.572520305780927e-14,13464.924033407351,-223.40436398077708,-4316.422010517257,7296
-4614.1017656336335,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-672.4425835042643,-223.40436398077526,6.572520305780927e-14,15092.940699147082,-223.40436398077708,-4316.422010517257,8199
-5004.960938948765,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-673.3134415393729,-223.40436398077526,6.572520305780927e-14,16430.013927855704,-223.40436398077708,-4316.422010517257,8199
-4301.147836012442,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-674.5583538716794,-223.40436398077526,6.572520305780927e-14,14146.62009698767,-223.40436398077708,-4316.422010517257,8199
-3884.570290021968,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-412.08278323201984,-678.5652042759215,-223.40436398077526,6.572520305780927e-14,12489.077688434585,-223.40436398077708,-4316.422010517257,8199
-4463.1315227974565,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.51240613023626,-678.2033744215379,-223.40436398077526,6.572520305780927e-14,14526.561673683405,-223.40436398077708,-4316.422010517257,8199
-4454.318773869199,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-225.90602014304582,-674.1073762189648,-223.40436398077526,6.572520305780927e-14,14463.896104290125,-223.40436398077708,-4316.422010517257,8199
-4051.628123862645,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.5884064573373,-674.126559868118,-223.40436398077526,6.572520305780927e-14,13362.542292485006,-223.40436398077708,-4316.422010517257,8199
-4504.658632420742,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-672.8885861612205,-223.40436398077526,6.572520305780927e-14,14695.343893580059,-223.40436398077708,-4316.422010517257,8199
-4040.3513228028683,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.576966744333,-675.4620228157029,-223.40436398077526,6.572520305780927e-14,12843.971759462545,-223.40436398077708,-4316.422010517257,8199
-4060.7055387248756,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-675.4844007198418,-223.40436398077526,6.572520305780927e-14,13230.123227435168,-223.40436398077708,-4316.422010517257,8199
-4347.385265140826,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.26502126720032,-673.6092978799227,-223.40436398077526,6.572520305780927e-14,13961.352970078717,-223.40436398077708,-4316.422010517257,9099
-4174.801041323664,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-671.572656790429,-223.40436398077526,6.572520305780927e-14,13655.195924951271,-223.40436398077708,-4316.422010517257,9099
-4941.760844274042,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-242.4769297082301,-678.1947158790907,-223.40436398077526,6.572520305780927e-14,16322.736070798921,-223.40436398077708,-4316.422010517257,9099
-4017.752910720589,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-316.2388660939246,-676.344550596328,-223.40436398077526,6.572520305780927e-14,13131.073630792427,-223.40436398077708,-4316.422010517257,9099
-4180.047149015923,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.46605775137687,-674.6747091544162,-223.40436398077526,6.572520305780927e-14,13492.154661855255,-223.40436398077708,-4316.422010517257,9099
-4559.470356609022,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-676.073503024845,-223.40436398077526,6.572520305780927e-14,14931.873346290917,-223.40436398077708,-4316.422010517257,9099
-3925.9522926636173,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-673.9979610183101,-223.40436398077526,6.572520305780927e-14,12288.936723420562,-223.40436398077708,-4316.422010517257,9099
-4181.134283152236,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.1140797624753,-678.7133241571693,-223.40436398077526,6.572520305780927e-14,13490.437353399931,-223.40436398077708,-4316.422010517257,9099
-4965.999514688273,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.45838791855465,-674.9343217736799,-223.40436398077526,6.572520305780927e-14,16211.445039979639,-223.40436398077708,-4316.422010517257,9099
-4738.800883034185,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-231.1358893920865,-679.9154988030847,-223.40436398077526,6.572520305780927e-14,15201.577249341934,-223.40436398077708,-4316.422010517257,9099
-4321.358772216435,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4199250576834,-679.2246472535771,-223.40436398077526,6.572520305780927e-14,14037.64825356467,-223.40436398077708,-4316.422010517257,9999
-4033.685156654859,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-676.1551660986755,-223.40436398077526,6.572520305780927e-14,13219.63499575145,-223.40436398077708,-4316.422010517257,9999
-4082.374702476384,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-235.84628056684724,-676.926389602282,-223.40436398077526,6.572520305780927e-14,13149.495996423379,-223.40436398077708,-4316.422010517257,9999
-4120.114700216512,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-677.4264589109343,-223.40436398077526,6.572520305780927e-14,13412.877619045252,-223.40436398077708,-4316.422010517257,9999
-3743.845269710983,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.16240857517255,-675.0491159802523,-223.40436398077526,6.572520305780927e-14,12141.286396755488,-223.40436398077708,-4316.422010517257,9999
-4041.6633724204603,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.5626257224152,-675.634233538894,-223.40436398077526,6.572520305780927e-14,13044.267380635498,-223.40436398077708,-4316.422010517257,9999
-4511.995510902961,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-675.7659769269159,-223.40436398077526,6.572520305780927e-14,15099.671837016813,-223.40436398077708,-4316.422010517257,9999
-4350.515797090247,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-228.60365443605676,-674.2115880514098,-223.40436398077526,6.572520305780927e-14,14257.990668501552,-223.40436398077708,-4316.422010517257,9999
-4107.579075660235,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-230.88566764035343,-671.9300758234506,-223.40436398077526,6.572520305780927e-14,13152.427075691374,-223.40436398077708,-4316.422010517257,9999
-4303.01675799491,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-676.3093211219532,-223.40436398077526,6.572520305780927e-14,14036.622004451297,-223.40436398077708,-4316.422010517257,9999
