LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
2770.3297536213713,2770.32975362091,2443.5512466459963,2738.9425328530533,2731.923105307341,2770.3297536213054,2443.5512466519776,2339.32781381044,2358.0236286278027,1.1273915954247509,707.088169377143,2908.571645456195,2317.653199382272,996
2846.963357391648,2846.963357391648,2399.335851549663,2757.8041017955547,2756.1011095755957,2846.963357391649,2399.335851549622,2340.6159592902454,2310.8843100747526,0.93991023240353,707.0881693776857,2908.571645456195,2317.653199382272,996
2895.825630701834,2894.3633707081763,2419.223693006775,2794.110799583642,2793.409102792304,2888.402740598547,2419.223693006804,2364.933709032892,2352.521496343735,0.9399102331045913,588.0421289090299,2908.571645456195,2317.653199382272,1897
2887.5472675215333,2893.217642522969,2471.8099906272028,2885.0253302541814,2891.646930602891,2830.7513394535426,2471.8099903916573,2336.153859844252,2418.4436688156134,1.127346089217707,660.7722368632074,2908.571645456195,2317.653199382272,1897
2906.485040814423,2906.2251910020486,2429.777815998371,2881.5606087510923,2880.2066721212595,2898.5349407928193,2429.7778159990303,2338.910109779963,2312.6128147400996,1.1274082187360015,388.0072559462177,2908.571645456195,2317.653199382272,1897
2907.5074629710416,2907.392518848861,2452.4485792574783,2880.3810333573,2879.721298614972,2892.110376185644,2452.4485792530654,2374.045158472621,2330.0583444307595,1.1273416042719,364.4513830845756,2908.571645456195,2317.653199382272,1897
2874.139715404102,2873.232348551947,2419.4054101281554,2771.190937983346,2774.613307272197,2874.8644221404575,2419.4054101308748,2334.3204891758337,2360.472492091364,0.9399102324041573,596.8131154216536,2908.571645456195,2317.653199382272,1897
2896.361392330658,2893.882904904751,2428.2179986834926,2727.6027965491166,2726.702843026077,2809.0640908823025,2428.2179986898796,2361.6108124846683,2311.432550106659,1.1273225659236323,1047.4761564235073,2908.571645456195,2317.653199382272,1897
2906.8657532416196,2906.7121384211387,2457.1768443015667,2880.592419585927,2879.629272839913,2896.762014760271,2457.1768443015785,2341.518740166145,2346.8034563832075,1.1271440149957337,372.81679693697987,2908.571645456195,2317.653199382272,1897
2904.9268526192027,2904.097171480359,2476.344615018451,2877.822439073435,2877.3647450808094,2891.316568184159,2476.344615012924,2319.0997432539875,2352.1977158447003,1.1271999232722927,255.36717258203788,2908.571645456195,2317.653199382272,1897
